headline,date,doc_type,material_type,section,keywords,word_count
‘Defund the Police’ Is Dead. Now What?,2022-09-01,article,Op-Ed,Opinion,"['Police Brutality, Misconduct and Shootings', 'Police Reform', 'Criminal Justice', 'Race and Ethnicity', 'Black People', 'Blacks', 'Black Lives Matter Movement', 'United States Politics and Government']",863
"Mary Peltola, a Democrat, Defeats Sarah Palin in Alaska’s Special House Election",2022-09-01,article,News,U.S.,"['Elections, House of Representatives', 'Midterm Elections (2022)']",1163
How Reagan and Bush Overcame Skepticism to Collaborate With Gorbachev,2022-09-01,article,News,U.S.,"['Cold War Era', 'Arms Control and Limitation and Disarmament', 'Politics and Government', 'Russian Invasion of Ukraine (2022)', 'Strategic Arms Reduction Treaty', 'Nuclear Weapons', 'United States International Relations']",1354
Who’s Who in Serena Williams’s Player’s Box,2022-09-01,multimedia,Interactive Feature,Sports,['United States Open (Tennis)'],0
Alaska Governor Primary Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Governors']",0
Alaska At-Large Congressional District Special Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Wyoming Secretary of State Primary Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Secretary of State']",0
Wyoming Governor Primary Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Governors']",0
Alaska At-Large Congressional District Primary Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",0
Alaska U.S. Senate Primary Election Results,2022-09-01,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Senate']",0
U.S. Restricts Sales of Sophisticated Chips to China and Russia,2022-09-01,article,News,Technology,"['Computers and the Internet', 'Computer Chips', 'International Trade and World Market']",814
Serena Williams’s Magical Run at the U.S. Open Isn’t Over Yet,2022-09-01,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",1200
Jumbo Jet,2022-09-01,article,News,Crosswords & Games,['Crossword Puzzles'],768
Serena Williams Will Face Ajla Tomljanovic in the Third Round,2022-09-01,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",486
Trump’s Lawyers Renew Push for Special Master in Documents Inquiry,2022-09-01,article,News,U.S.,"['Classified Information and State Secrets', 'Search and Seizure', 'United States Politics and Government']",954
"It Was Anett Kontaveit Against Serena Williams, and the Crowd",2022-09-01,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",967
"Quotation of the Day: Taking Aim, With Tanks, at Gorbachev’s Legacy",2022-09-01,article,Quote,Today’s Paper,[],65
"Corrections: Sept. 1, 2022",2022-09-01,article,News,Corrections,[],150
The Pandemic Erased Two Decades of Progress in Math and Reading,2022-09-01,article,News,U.S.,"['Education (K-12)', 'National Assessment of Educational Progress', 'Coronavirus (2019-nCoV)', 'Quarantines', 'E-Learning', 'Mathematics', 'Reading and Writing Skills (Education)', 'Children and Childhood', 'Black People', 'Blacks', 'Hispanic-Americans', 'Income Inequality']",1121
Where Exactly Is Times Square? It’s Complicated.,2022-09-01,article,briefing,New York,"['Tennis', 'Firearms', 'Gun Control']",1508
Your Thursday Briefing,2022-09-01,article,briefing,Briefing,"['Elections', 'War and Armed Conflicts', 'Soccer', 'Politics and Government', 'Human Rights and Human Rights Violations', 'Russian Invasion of Ukraine (2022)']",1230
These 12 Teachers Don’t See Themselves as Superheroes,2022-09-01,multimedia,Interactive Feature,Opinion,"['Teachers and School Employees', 'United States Politics and Government', 'Education (K-12)', 'Coronavirus (2019-nCoV)']",0
Debt-Stricken Sri Lanka Reaches Initial Deal for I.M.F. Bailout,2022-09-01,article,News,World,"['Economic Conditions and Trends', 'Credit and Debt']",774
"Pencil, chalk and first-aid kits: Ukrainian children return to school in the midst of war.",2022-09-01,article,News,World,"['Russian Invasion of Ukraine (2022)', 'Education']",528
China Locks Down Major Southern City of Chengdu,2022-09-01,article,News,World,"['Quarantines', 'Coronavirus (2019-nCoV)']",584
Spelling Bee Forum,2022-09-01,article,News,Crosswords & Games,[],165
The Anglican Church’s ‘Kick in the Guts’ to Gay Parishioners,2022-09-01,article,News,World,"['Homosexuality and Bisexuality', 'Episcopal Church', 'Anglican Churches']",1178
The People’s Republic of Shein,2022-09-01,article,News,Style,"['Fashion and Apparel', 'Pop-Up Stores and Restaurants', 'Shopping and Retail', 'audio-neutral-informative', 'audio-neutral-immersive']",1735
‘We Are Not Stopping.’ U.N. Team Continues to Nuclear Plant,2022-09-01,multimedia,Video,World,"['Russian Invasion of Ukraine (2022)', 'Nuclear Energy', 'Defense and Military Forces', 'International Relations']",0
"In a Japanese Nursing Home, Some Workers Are Babies",2022-09-01,article,News,World,"['Nursing Homes', 'Elderly', 'Babies and Infants', 'Elder Care', 'Loneliness']",770
"For Uyghurs, U.N. Report on China’s Abuses Is Long-Awaited Vindication",2022-09-01,article,News,World,"['Uighurs (Chinese Ethnic Group)', 'Political Prisoners', 'Human Rights and Human Rights Violations', 'War Crimes, Genocide and Crimes Against Humanity']",973
"At the National Theater, Love Redeems, in Various Ways",2022-09-01,article,Review,Theater,['Theater'],1002
What Is School For?,2022-09-01,multimedia,Interactive Feature,Opinion,"['Education', 'Education (K-12)']",0
‘A Breach of Trust’: Three Parents on Why They Became School Activists,2022-09-01,multimedia,Interactive Feature,Opinion,[],0
A Baby Hadn’t Gained Any Weight in Months. Why Was It Failing to Thrive?,2022-09-01,article,News,Magazine,"['Babies and Infants', 'Genetics and Heredity', 'Salt', 'Kidneys', 'Breastfeeding', 'Infant Formulas']",1482
Poem: Nationhood,2022-09-01,article,News,Magazine,['Poetry and Poets'],371
"Two Children, Two Cats and a Dog (and 250 Mice): She Needed a New Plan. Which Option Would You Choose?",2022-09-01,multimedia,Interactive Feature,Real Estate,['Real Estate and Housing (Residential)'],0
Please Don’t Make a Tolkien Cinematic Universe,2022-09-01,article,Op-Ed,Opinion,"['Television', 'Movies', 'Books and Literature']",1171
Stephen King’s ‘Fairy Tale’: A Portal to a Fantasy Kingdom,2022-09-01,article,Review,Books,['Books and Literature'],908
